epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
41,20.366192,0.1773,0.9343,23.089088,0.2718,1.0776,1.1337,0.0023,5.0,0.09330127,173.31,7776,16311,99,8.407,4.3961,3.6618,7.8363,2.46,9.6057,,,,,,
42,20.124661,0.23,1.1332,23.171943,0.2233,1.0484,1.1514,0.0019,5.0,0.09288643,173.33,7776,16311,99,8.2322,4.3353,3.7161,7.9428,2.5745,9.8076,,,,,,
43,19.918918,0.2324,1.1643,20.329621,0.5242,1.563,1.0206,0.0037,5.0,0.09246011,173.24,7776,16311,99,9.601,5.0219,4.3258,9.093,3.0104,11.3336,,,,,,
44,19.771814,0.2923,1.241,18.837869,0.6893,2.6211,0.9528,0.0059,5.0,0.09202242,173.35,7776,16311,99,10.5427,5.5749,4.7724,10.2136,3.2395,12.3114,,,,,,
45,19.602529,0.309,1.2961,19.095077,0.6213,2.3784,0.9741,0.005,5.0,0.09157348,259.12,7776,16311,99,10.6203,5.5944,4.7199,10.0895,3.2191,12.2712,42.1278,11.5168,22.4479,26.1391,14.9138,31.7256
46,19.48485,0.3306,1.3512,19.136865,0.7281,2.8832,0.9821,0.0059,5.0,0.09111341,173.23,7776,16311,99,9.9602,5.3046,4.3588,9.3092,2.9104,11.0916,,,,,,
47,19.304989,0.3234,1.4853,19.199808,0.631,2.4367,0.9946,0.0053,5.0,0.09064233,173.27,7775,16311,99,10.2903,5.5721,4.5879,9.7961,3.0793,11.7792,,,,,,
48,19.18669,0.4815,1.6338,18.702939,0.6019,2.1551,0.9748,0.0045,5.0,0.09016038,173.35,7775,16311,99,10.63,5.6947,5.0034,10.5598,3.4094,12.8224,,,,,,
49,19.062419,0.4456,1.7464,19.64777,0.6116,1.9901,1.0307,0.0045,5.0,0.08966767,173.25,7775,16311,99,9.834,5.2827,4.6248,9.9765,3.224,12.5699,,,,,,
50,18.970131,0.4887,1.8519,18.359051,1.0776,3.2909,0.9678,0.0093,5.0,0.08916434,259.01,7775,16311,99,10.7659,5.8004,4.9257,10.3115,3.3968,12.8173,35.626,9.8468,18.9219,22.0116,12.6467,26.892
51,18.872671,0.5247,1.9573,21.12312,0.6698,2.2522,1.1192,0.0059,5.0,0.08865052,173.24,7850,16311,98,9.0088,4.7629,4.0404,8.5824,2.7182,10.3714,,,,,,
52,18.747956,0.5534,2.0411,18.036136,1.1844,3.2521,0.962,0.0109,5.0,0.08812636,173.26,7850,16311,99,10.7951,5.7893,4.9277,10.4105,3.3841,12.8991,,,,,,
53,18.67522,0.6037,2.2591,18.121208,1.0484,3.6501,0.9703,0.0083,5.0,0.08759199,173.28,7849,16311,99,10.8242,5.7256,4.7859,10.297,3.3036,12.6875,,,,,,
54,18.584648,0.5893,2.2735,19.573642,0.9514,2.8153,1.0532,0.0081,5.0,0.08704756,173.27,7849,16311,100,9.834,5.2239,4.5413,9.8261,3.1366,12.1404,,,,,,
55,18.482704,0.7307,2.5514,19.29525,0.9902,3.4074,1.044,0.0087,5.0,0.0864932,259.08,7777,16311,99,10.2029,5.4125,4.6151,9.671,3.1007,11.6695,30.5903,8.3275,15.9163,18.3072,10.6452,22.4697
56,18.381435,0.7642,2.6041,20.987058,0.6116,1.9513,1.1418,0.0058,5.0,0.08592908,173.31,7777,16311,99,9.4554,5.0708,4.32,9.2514,2.9842,11.4208,,,,,,
57,18.250826,0.8624,2.8221,18.20871,1.5047,3.854,0.9977,0.0125,5.0,0.08535534,173.29,7777,16311,99,10.8533,5.7039,5.1315,10.549,3.5744,13.2021,,,,,,
58,18.193885,0.8576,2.8389,19.764967,1.0096,2.5143,1.0864,0.0093,5.0,0.08477213,173.35,7777,16311,99,9.9893,5.2401,4.5743,9.806,3.1327,12.0003,,,,,,
59,18.147618,0.9487,3.0904,21.617233,0.6795,2.2037,1.1912,0.0062,5.0,0.08417962,173.26,7777,16311,99,9.5428,5.0296,4.2947,9.0678,2.9667,11.2554,,,,,,
60,18.025893,1.011,3.2342,21.786458,0.8737,2.8929,1.2086,0.0073,5.0,0.08357795,259.14,7777,16311,99,8.9797,4.7455,4.021,8.6396,2.7046,10.5749,37.5186,10.2208,20.0723,23.2716,13.2576,28.1502
61,17.975475,1.0852,3.4593,21.224857,0.7572,1.9513,1.1808,0.0072,5.0,0.08296729,173.29,7777,16311,99,10.1544,5.3909,4.7063,9.9595,3.2191,12.2795,,,,,,
62,17.882831,1.1595,3.5576,17.723339,1.495,4.5044,0.9911,0.0121,5.0,0.08234781,173.31,7777,16311,99,11.5426,6.1827,5.4713,11.6414,3.7812,14.4142,,,,,,
63,17.844762,1.1523,3.7804,21.824169,0.9999,2.6017,1.223,0.0087,5.0,0.08171966,173.27,7777,16311,99,9.9214,5.2657,4.4015,9.4565,3.0123,11.5053,,,,,,
64,17.75312,1.2074,3.9217,18.13849,1.2426,3.8443,1.0217,0.01,5.0,0.08108303,173.29,7777,16311,99,11.6591,6.4007,5.4519,11.6406,3.8113,14.391,,,,,,
65,17.661041,1.4925,4.1589,18.542338,1.7377,4.7374,1.0499,0.0148,5.0,0.08043807,259.31,7777,16311,99,11.0863,5.9283,4.885,10.2716,3.2589,12.3235,38.9081,10.6636,21.5117,24.6528,14.3656,29.9961
66,17.583713,1.4158,4.1469,16.914855,2.3784,6.0188,0.962,0.0209,5.0,0.07978497,173.26,7777,16311,99,12.8725,7.2256,5.8519,12.6287,4.0297,15.5539,,,,,,
67,17.450475,1.5716,4.5278,16.818681,2.7182,6.8925,0.9638,0.0228,5.0,0.07912388,173.31,7777,16311,99,12.6007,6.7746,5.78,12.3032,3.9627,15.0507,,,,,,
68,17.39177,1.5931,4.6188,16.64886,2.5823,6.5916,0.9573,0.0228,5.0,0.07845501,173.32,7777,16311,99,12.9114,6.8631,6.0363,12.6313,4.1142,15.2427,,,,,,
69,17.302515,1.5979,4.8632,16.585848,2.8832,7.4556,0.9586,0.0246,5.0,0.07777851,173.32,7777,16311,99,12.6493,6.8663,5.9664,12.5693,4.0918,15.3995,,,,,,
70,17.241225,1.8231,5.0788,20.779298,2.2522,5.6305,1.2052,0.0195,5.0,0.07709458,259.11,7777,16311,99,9.8437,5.2563,4.386,9.3763,2.9502,11.2362,35.4032,9.8405,18.8247,22.0378,12.3753,26.5226
71,17.182142,1.9046,5.2585,17.47932,2.3007,5.7179,1.0173,0.0201,5.0,0.07640339,173.34,7852,16311,99,12.4163,6.7893,5.8752,12.5212,3.9967,15.1664,,,,,,
72,17.098159,1.9453,5.4286,16.439099,3.2327,7.8827,0.9615,0.0281,5.0,0.07570514,173.31,7851,16311,99,12.7075,7.0688,5.9043,12.6718,4.0928,15.4704,,,,,,
73,17.014403,2.01,5.5292,16.374538,2.9997,7.7274,0.9624,0.0265,5.0,0.075,173.33,7851,16311,99,13.1735,7.1368,6.1373,12.9526,4.1831,15.7593,,,,,,
74,16.894345,2.1297,5.8215,18.559205,2.126,5.6985,1.0985,0.0192,5.0,0.07428817,173.29,7777,16311,99,11.5232,6.2313,5.1529,10.7938,3.4249,12.726,,,,,,
75,16.858979,2.2591,5.8957,17.612668,2.8444,6.5139,1.0447,0.0249,5.0,0.07356984,259.05,7777,16311,99,12.4648,6.5954,5.4402,11.5934,3.7152,14.0744,49.691,13.6502,28.2392,31.8249,18.8563,38.2668
76,16.76128,2.343,6.0395,16.069408,3.7569,8.4458,0.9587,0.0344,5.0,0.07284519,174.06,7778,16311,99,13.688,7.5986,6.3237,13.4288,4.3986,16.4644,,,,,,
77,16.66337,2.5083,6.3797,16.378418,4.087,9.0671,0.9829,0.0373,5.0,0.07211443,174.15,7778,16311,99,13.3094,7.335,6.0266,12.8058,4.0967,15.4501,,,,,,
78,16.606352,2.5442,6.6528,16.983049,3.1842,7.8827,1.0227,0.0286,5.0,0.07137775,173.34,7778,16311,99,12.5036,6.9732,5.7159,12.2671,3.8627,14.6841,,,,,,
79,16.473906,2.7287,6.8852,16.276407,3.8831,8.8147,0.988,0.0338,5.0,0.07063535,173.31,7778,16311,99,13.2803,7.4071,6.1334,12.9243,4.2675,15.9714,,,,,,
80,16.361742,2.8365,7.2493,21.373734,2.2134,4.6209,1.3063,0.0203,5.0,0.06988742,259.06,7777,16311,99,10.7951,5.8946,5.015,10.66,3.4259,12.9666,44.2576,12.1671,25.1627,28.2448,16.8677,34.0899
81,16.261778,3.1551,7.7787,18.368351,3.8249,8.3487,1.1295,0.0343,5.0,0.06913417,173.33,7777,16311,98,12.2318,6.8855,5.3432,11.3187,3.6123,13.6503,,,,,,
82,16.165443,3.2461,7.8985,16.679299,3.9608,8.7467,1.0318,0.0358,5.0,0.0683758,173.32,7777,16311,99,12.7949,6.9229,5.9684,12.6213,4.1423,15.3727,,,,,,
83,16.110998,3.1479,8.0662,21.863245,2.8153,6.0771,1.357,0.0234,5.0,0.0676125,173.29,7777,16311,99,10.4941,5.6715,4.6112,9.8334,3.0861,11.8025,,,,,,
84,16.000338,3.6103,8.3441,15.989473,4.4559,9.9699,0.9993,0.0387,5.0,0.06684449,173.29,7777,16311,99,13.9986,7.751,6.3275,13.5865,4.2841,16.1574,,,,,,
