epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
52,14.649427,7.8796,17.3888,18.23565,5.184,12.358,1.2448,0.0363,5.0,0.08922971,554.24,9931,16311,100,19.3768,10.4258,8.9428,17.8737,5.8946,20.8779,,,,,,
53,14.632825,8.0186,17.4271,17.552317,6.0674,13.6589,1.1995,0.0438,5.0,0.08874286,554.31,9931,16311,100,18.9399,10.1655,8.8011,17.7331,5.7674,20.5904,,,,,,
54,14.538708,7.8604,17.7866,18.333504,5.2713,11.8629,1.261,0.0381,5.0,0.08824663,554.33,9931,16311,100,18.639,10.1114,8.5739,17.4508,5.6587,20.1329,,,,,,
55,14.488214,8.2487,17.8921,18.150659,5.0869,12.0862,1.2528,0.0374,5.0,0.08774115,741.58,9931,16311,100,18.4836,9.9538,8.6865,17.5232,5.7888,20.4876,76.747,20.1666,49.6985,49.8028,34.5339,60.0278
56,14.498879,8.2391,17.9472,17.700529,6.213,13.7268,1.2208,0.0454,5.0,0.08722654,554.38,9931,16311,100,19.2117,10.4045,8.869,17.8744,5.8713,20.7494,,,,,,
57,14.397123,8.3158,18.1389,17.647515,6.5625,14.2025,1.2258,0.049,5.0,0.08670293,554.3,9931,16311,100,18.7846,10.1491,8.7856,17.7052,5.7897,20.5529,,,,,,
58,14.352282,8.3996,18.4744,18.17508,5.3199,12.1445,1.2664,0.0388,5.0,0.08617044,554.27,9931,16311,99,18.8137,10.1318,8.8089,17.5505,5.8344,20.5555,,,,,,
59,14.309045,8.5914,18.4552,17.270638,6.9508,15.4548,1.207,0.0525,5.0,0.0856292,554.35,9931,16311,100,19.037,10.2833,8.9253,17.9813,5.9237,20.9966,,,,,,
60,14.246272,8.5171,18.7284,17.855916,5.9606,13.6686,1.2534,0.0431,5.0,0.08507934,741.43,9931,16311,100,18.9108,10.1355,8.8729,17.8112,5.7907,20.6728,77.9021,20.4403,50.2967,50.3182,35.0158,60.6826
61,14.218296,8.6752,18.8962,17.762934,5.9897,13.3968,1.2493,0.0425,5.0,0.084521,554.12,9931,16311,99,19.1438,10.282,8.8516,17.6907,5.846,20.7208,,,,,,
62,14.132901,8.8789,19.2796,17.60437,6.3295,13.7851,1.2456,0.0457,5.0,0.08395431,554.49,9931,16311,100,19.4253,10.4292,8.97,17.9645,5.9208,20.9295,,,,,,
63,14.091114,8.8406,19.294,16.705705,7.5041,16.5421,1.1855,0.0552,5.0,0.08337941,554.37,9931,16311,100,19.4156,10.5132,9.1545,18.243,6.0742,21.2962,,,,,,
64,13.969449,9.2288,19.6439,17.121811,7.0382,15.7169,1.2257,0.0524,5.0,0.08279643,554.36,9931,16311,100,19.2797,10.5079,9.0535,18.0661,6.0188,21.095,,,,,,
65,13.973643,9.2959,19.5001,16.654719,8.2516,16.8624,1.1919,0.0628,5.0,0.08220552,741.84,9931,16311,100,19.1826,10.2382,9.2224,18.3758,6.0829,21.2235,78.7936,20.7062,51.6689,51.4943,36.2162,62.2271
66,13.831356,9.3702,19.9027,17.619717,6.048,13.6103,1.2739,0.0447,5.0,0.08160682,554.16,9931,16311,100,18.8622,10.2276,8.7545,17.7375,5.7422,20.5651,,,,,,
67,13.76817,9.4852,20.358,17.512678,6.2324,14.3384,1.272,0.0447,5.0,0.08100048,554.13,9931,16311,100,19.2603,10.272,8.9681,17.8386,5.9451,20.8817,,,,,,
68,13.704129,9.6458,20.7463,16.915594,7.2517,16.4353,1.2343,0.0545,5.0,0.08038664,554.22,9931,16311,100,19.5515,10.6032,9.1079,18.2942,5.946,21.0667,,,,,,
69,13.639608,9.6722,20.8206,17.141538,7.2517,15.746,1.2567,0.0541,5.0,0.07976544,554.28,9931,16311,100,19.1729,10.2612,9.0865,18.1092,5.9868,21.1032,,,,,,
70,13.574304,9.9837,21.1057,16.909441,7.7177,16.7848,1.2457,0.0595,5.0,0.07913705,741.38,9931,16311,99,19.1729,10.3797,9.0418,18.1796,5.9421,21.0678,78.5276,20.5886,50.9591,50.9981,35.5706,61.486
71,13.537595,9.9765,21.2375,16.982101,7.31,15.1636,1.2544,0.0521,5.0,0.07850161,554.14,9931,16311,99,19.901,10.7455,9.3175,18.6184,6.1276,21.35,,,,,,
72,13.43336,10.1658,21.5946,16.875145,7.1352,16.28,1.2562,0.0515,5.0,0.07785928,554.37,9931,16311,100,19.4835,10.5617,9.0729,18.2434,6.0237,21.0901,,,,,,
73,13.340385,10.4726,21.9349,17.286848,6.679,14.2802,1.2958,0.0487,5.0,0.07721021,554.3,9931,16311,100,19.3573,10.4471,9.0574,18.0273,5.9936,20.9145,,,,,,
74,13.236082,10.5157,22.014,16.851169,7.4459,15.7266,1.2731,0.0527,5.0,0.07655456,554.11,9931,16311,100,19.2506,10.4001,9.0438,18.2162,5.9616,21.0588,,,,,,
75,13.215713,10.7458,22.2441,17.168758,7.0284,15.0568,1.2991,0.0537,5.0,0.07589248,741.26,9937,16311,100,19.1438,10.3908,8.9234,17.964,5.9286,20.9359,79.6396,20.9251,52.2589,52.044,36.6111,62.7956
76,13.087039,10.7961,22.5676,16.647703,7.8536,16.6295,1.2721,0.0572,5.0,0.07522414,554.06,9931,16311,100,19.6486,10.4801,9.3175,18.5396,6.1712,21.5821,,,,,,
