epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
41,20.195069,0.3905,1.6362,20.941984,0.7669,2.4075,1.037,0.0059,5.0,0.09330127,269.83,10347,16311,99,10.3194,5.5402,4.384,9.3227,2.9279,11.2802,,,,,,
42,19.965859,0.4264,1.7488,19.639426,0.9125,2.7279,0.9837,0.008,5.0,0.09288643,269.81,10347,16311,99,11.1154,5.8334,5.1704,10.8149,3.5336,13.2239,,,,,,
43,19.792913,0.5318,1.8758,19.443742,0.8057,2.8444,0.9824,0.007,5.0,0.09246011,269.85,10346,16311,99,10.9116,5.8505,4.8966,10.4189,3.3317,12.796,,,,,,
44,19.637025,0.5223,1.9261,19.77937,1.0873,3.1259,1.0072,0.0085,5.0,0.09202242,269.88,10346,16311,99,10.9989,5.7017,4.7801,10.1431,3.1783,12.1149,,,,,,
45,19.477691,0.4935,1.9501,22.932409,0.699,2.3396,1.1774,0.0062,5.0,0.09157348,383.22,10346,16311,99,9.1739,4.8528,4.0889,8.6322,2.7211,10.3605,36.371,9.8684,19.0379,22.1921,12.5042,26.7464
46,19.371754,0.5774,2.0794,24.466955,0.4077,1.4562,1.263,0.0034,5.0,0.09111341,269.81,10346,16311,99,8.4458,4.4921,3.6637,7.9233,2.491,9.7855,,,,,,
47,19.168343,0.6205,2.2376,19.192156,1.097,3.5142,1.0012,0.0096,5.0,0.09064233,276.55,1775,16311,94,11.2513,6.0258,4.8345,10.2857,3.2706,12.4381,,,,,,
48,19.061886,0.69,2.4244,18.467429,1.0776,3.1744,0.9688,0.01,5.0,0.09016038,269.55,10376,16311,99,11.6785,6.2759,5.4189,11.4041,3.7336,13.9579,,,,,,
49,18.921832,0.8457,2.7718,19.576451,1.1746,3.2133,1.0346,0.0098,5.0,0.08966767,269.48,10376,16311,99,10.7854,5.7443,5.0869,10.9312,3.5133,13.4562,,,,,,
50,18.769849,0.8696,2.997,17.927551,1.7571,4.8539,0.9551,0.0149,5.0,0.08916434,383.02,10377,16311,99,12.0668,6.5406,5.5975,11.9618,3.8472,14.6439,48.208,12.9963,26.487,29.7671,17.7382,36.1827
51,18.697949,0.9056,3.0281,19.954364,1.1164,2.9706,1.0672,0.0099,5.0,0.08865052,269.4,10361,16311,99,10.1932,5.4215,4.7141,10.0016,3.2735,12.442,,,,,,
52,18.554687,0.9702,3.1695,18.346188,1.3106,4.1161,0.9888,0.0107,5.0,0.08812636,269.44,10360,16311,99,11.5232,6.1587,5.2364,11.0706,3.5725,13.5926,,,,,,
53,18.455941,0.9774,3.1647,17.315829,1.728,5.2519,0.9382,0.0151,5.0,0.08759199,269.54,10355,16311,99,13.0473,7.0138,5.9567,12.6997,4.0899,15.4853,,,,,,
54,18.313935,1.1212,3.5839,19.67745,1.4756,3.9899,1.0745,0.0117,5.0,0.08704756,269.52,10355,16311,99,11.2222,6.0338,5.05,10.7116,3.4502,13.1657,,,,,,
55,18.208729,1.229,3.7253,17.964826,2.0775,5.8053,0.9866,0.018,5.0,0.0864932,382.94,10355,16311,99,11.8241,6.3721,5.2344,11.1479,3.6035,13.8231,47.3863,12.9903,25.9853,29.7423,17.2229,35.7859
56,18.124346,1.3488,4.0415,18.82771,1.9124,4.3879,1.0388,0.0157,5.0,0.08592908,269.55,10355,16311,99,11.6396,6.2663,5.4538,11.5929,3.7724,14.291,,,,,,
57,18.045777,1.4302,4.1134,17.580289,2.3978,6.4266,0.9742,0.0211,5.0,0.08535534,269.44,10355,16311,99,12.4939,6.7902,5.5839,11.7725,3.7763,14.2965,,,,,,
58,17.943189,1.4614,4.4464,17.821355,2.6308,6.5625,0.9932,0.0225,5.0,0.08477213,269.52,10355,16311,99,12.3774,6.7387,5.5237,11.8115,3.7443,14.3061,,,,,,
59,17.837613,1.5476,4.4727,18.278642,2.4755,6.1839,1.0247,0.0213,5.0,0.08417962,269.54,10355,16311,99,12.028,6.4063,5.4616,11.3151,3.6404,13.4389,,,,,,
60,17.715062,1.6746,4.8584,17.658578,2.592,6.7081,0.9968,0.0211,5.0,0.08357795,382.85,10355,16311,99,12.6395,6.9186,5.8752,12.1605,3.9889,14.7593,46.9288,12.8157,25.9719,29.0832,17.3868,35.2119
61,17.682711,1.6482,5.0477,17.691829,2.7667,6.9411,1.0005,0.0244,5.0,0.08296729,269.51,10355,16311,99,12.7172,6.9291,5.8227,12.2116,4.0045,14.7024,,,,,,
62,17.551145,1.9333,5.3328,17.068795,3.2424,8.1254,0.9725,0.0282,5.0,0.08234781,269.48,10355,16311,99,12.8822,7.0073,6.0984,12.6361,4.1637,15.4824,,,,,,
63,17.478692,1.9261,5.4022,17.628487,3.0191,7.7759,1.0086,0.0275,5.0,0.08171966,269.51,10355,16311,99,12.5619,6.7895,5.582,11.8886,3.7404,14.0487,,,,,,
64,17.370077,2.0555,5.6298,17.303719,2.5823,6.844,0.9962,0.0219,5.0,0.08108303,269.53,10355,16311,99,13.6297,7.583,6.0965,12.9644,4.1695,15.5645,,,,,,
65,17.292712,2.1657,5.9365,16.695572,3.9414,8.6302,0.9655,0.0335,5.0,0.08043807,382.92,10355,16311,100,14.1928,7.7705,6.4518,13.6884,4.353,16.4082,54.6428,14.8709,31.7637,35.0209,21.4324,42.265
66,17.202585,2.2711,6.0994,16.411624,3.8055,8.6496,0.954,0.0324,5.0,0.07978497,269.53,10355,16311,55,14.319,7.9607,6.8246,14.4307,4.618,17.3277,,,,,,
67,17.029223,2.5107,6.6073,16.699464,3.4171,8.3002,0.9806,0.0302,5.0,0.07912388,269.57,10355,16311,99,14.1248,7.7131,6.6207,13.7524,4.5267,16.6348,,,,,,
68,16.997641,2.5466,6.6719,17.701119,2.9803,6.776,1.0414,0.0252,5.0,0.07845501,269.55,10355,16311,99,13.7171,7.5672,6.2596,13.1626,4.2015,15.8987,,,,,,
69,16.911927,2.6808,6.9259,17.150471,3.3492,8.3778,1.0141,0.0297,5.0,0.07777851,269.48,10355,16311,99,13.8142,7.5659,6.1916,13.0515,4.2044,15.6333,,,,,,
70,16.758055,2.7838,7.2134,16.900829,4.2617,9.2418,1.0085,0.0374,5.0,0.07709458,382.92,10355,16311,100,13.8627,7.563,6.0868,12.6943,4.154,15.2448,47.5468,12.9928,26.6686,29.7327,17.785,35.65
71,16.76724,2.9826,7.7739,16.234192,4.8442,10.6203,0.9682,0.0425,5.0,0.07640339,269.54,10355,16311,100,14.6491,8.0381,6.7527,14.3619,4.5656,17.1579,,,,,,
72,16.666424,3.124,7.877,15.962562,5.116,11.0086,0.9578,0.0448,5.0,0.07570514,269.57,10355,16311,100,14.7558,8.0485,6.7702,14.1747,4.6054,17.0293,,,,,,
73,16.488475,3.3827,8.2219,16.251007,4.5238,10.3582,0.9856,0.0406,5.0,0.075,269.54,10355,16311,99,15.2121,8.273,6.9974,14.66,4.7452,17.5957,,,,,,
74,16.426713,3.5216,8.4902,17.791299,4.5821,9.7466,1.0831,0.0416,5.0,0.07428817,269.52,10355,16311,99,13.0958,7.2017,5.8266,12.1434,3.92,14.4902,,,,,,
75,16.318336,3.7277,8.9071,17.283228,5.0189,10.7562,1.0591,0.0445,5.0,0.07356984,382.78,10355,16311,99,13.9501,7.6894,5.9761,12.5678,3.986,14.6652,51.0804,14.0351,28.8908,32.4381,19.2212,38.8186
76,16.291388,3.7444,8.9167,15.763972,5.9703,12.2124,0.9676,0.0544,5.0,0.07284519,269.51,10355,16311,100,14.785,8.1347,6.7178,14.1186,4.5753,16.9028,,,,,,
77,16.054854,4.075,9.6498,16.139773,5.5529,11.9794,1.0053,0.0473,5.0,0.07211443,269.55,10355,16311,99,14.785,8.1937,6.5489,13.7836,4.385,16.1752,,,,,,
78,16.007681,4.1972,9.9492,16.420561,5.8829,11.9794,1.0258,0.0527,5.0,0.07137775,270.27,10376,16311,99,14.2413,7.926,6.2965,13.2003,4.2006,15.4893,,,,,,
